,Institution,Acceptance Rate (%)
62,Gustavus Adolphus College,72.0
129,San Francisco State University,73.0
130,Youngstown State University,74.0
131,Louisiana State University,74.0
132,Iowa State University,75.0
63,Southwestern University,75.0
64,Agnes Scott College,75.0
133,University of North Carolina at Charlotte,76.0
134,University of Cincinnati,76.0
135,University of South Florida,77.0
136,Indiana University Bloomington,77.0
137,University of Houston,77.0
138,University of Wyoming,77.0
65,Goucher College,77.0
66,Hampden-Sydney College,78.0
67,Spelman College,78.0
68,Cornell College,78.0
145,University of Texas at San Antonio,78.0
146,University of Nebraska-Lincoln,78.0
144,University of North Carolina at Greensboro,78.0
142,University of Arkansas,78.0
141,Ohio University,78.0
140,Bowling Green State University,78.0
139,University of Texas at Arlington,78.0
143,University of Tennessee,78.0
148,University of Colorado Boulder,79.0
147,University of Louisville,79.0
149,"California State University, Chico",80.0
151,University of Oklahoma,80.0
152,University of Alabama,80.0
69,Transylvania University,80.0
70,Ursinus College,80.0
150,Washington State University,80.0
153,University of Missouri,81.0
154,University of Maine,81.0
155,"University of Nevada, Las Vegas",81.0
156,University of Delaware,81.0
71,Hendrix College,81.0
72,Bennington College,81.0
157,University of Iowa,82.0
158,Kent State University,82.0
159,Montclair State University,82.0
160,University of Memphis,82.0
73,Lewis & Clark College,83.0
74,Randolph College,83.0
162,Appalachian State University,83.0
161,University of North Florida,83.0
75,New College of Florida,84.0
164,University of Oregon,84.0
163,University of Montana,84.0
165,Eastern Michigan University,84.0
167,University of Mississippi,85.0
168,University of Idaho,85.0
169,University of Vermont,85.0
170,Texas State University,85.0
79,St. John's College,85.0
78,Hollins University,85.0
77,Oberlin College,85.0
76,Washington and Lee University,85.0
171,University of Rhode Island,85.0
166,"University of Nevada, Reno",85.0
172,University of Wisconsin-Milwaukee,87.0
174,University of Northern Iowa,87.0
175,"California State University, Fresno",87.0
80,Muhlenberg College,87.0
173,West Virginia University,87.0
176,University of Hawaii at Manoa,88.0
177,Arizona State University,88.0
178,Missouri State University,88.0
81,Hiram College,88.0
82,The College of Wooster,89.0
83,Kenyon College,89.0
84,Berea College,89.0
85,Birmingham-Southern College,89.0
183,University of Toledo,89.0
182,Middle Tennessee State University,89.0
181,"California State University, Northridge",89.0
180,University of Alabama at Birmingham,89.0
179,University of Texas at El Paso,89.0
86,Guilford College,89.0
186,University of South Dakota,91.0
184,"California State University, Long Beach",91.0
187,Western Carolina University,91.0
185,Georgia State University,91.0
188,"California State University, San Bernardino",92.0
89,Coe College,92.0
88,St. Mary's College of Maryland,92.0
87,Warren Wilson College,92.0
189,University of Alaska Fairbanks,92.0
190,Texas Tech University,93.0
191,University of Kansas,93.0
192,University of West Florida,93.0
92,Carthage College,93.0
91,Mills College,93.0
90,Randolph-Macon College,93.0
193,University of North Texas,94.0
194,University of New Mexico,94.0
95,McDaniel College,94.0
93,Roanoke College,94.0
94,Hollins University,94.0
196,University of Southern Mississippi,95.0
198,University of New Hampshire,95.0
195,University of Kentucky,95.0
96,Susquehanna University,95.0
197,Ball State University,95.0
199,University of Louisiana at Lafayette,96.0
97,Linfield College,96.0
98,Hanover College,96.0
201,University of New Orleans,97.0
200,University of Houston-Clear Lake,97.0
99,Wells College,97.0
101,Principia College,98.0
100,Westminster College,98.0
